instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,Unnamed: 29,NOTES,sources,Unnamed: 32,attendingPersID,attendingChurchNote,order,diocese,diocese_reg
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿alt.il.9002,﻿academy,﻿Young Ladies' Academy of the Visitation,English,,,,,﻿Randolph County,﻿Kaskakia,﻿Kaskakia,﻿IL,,36.58754291,-89.5288075,,,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
